ColorID,BaseColor,PumpNumber,Stock,Date
C000,Blue,1,30,2025-06-21
C001,Green,2,30,2025-06-22
C002,Red,3,30,2025-06-22
C003,Yellow,4,30,2025-06-22
C004,Pink,5,30,2025-06-22
C005,Black,6,30,2025-06-22
C006,White,7,30,2025-06-22
C007,Clear,8,30,2025-06-22
C008,Orange,9,30,2025-06-22
